theme,symbol,clean_symbol
Building Materials,AGI.NS,AGI
Building Materials,APLAPOLLO.NS,APLAPOLLO
Building Materials,CARYSIL.NS,CARYSIL
Building Materials,CENTURYPLY.NS,CENTURYPLY
Building Materials,CERA.NS,CERA
Building Materials,GREENPANEL.NS,GREENPANEL
Building Materials,GREENPLY.NS,GREENPLY
Building Materials,KAJARIACER.NS,KAJARIACER
Building Materials,RUSHIL.NS,RUSHIL
Building Materials,SOMANYCERA.NS,SOMANYCERA
White Goods & Durables,BAJAJELEC.NS,BAJAJELEC
White Goods & Durables,BLUESTARCO.NS,BLUESTARCO
White Goods & Durables,BOROLTD.NS,BOROLTD
White Goods & Durables,BPL.NS,BPL
White Goods & Durables,BUTTERFLY.NS,BUTTERFLY
White Goods & Durables,CELLO.NS,CELLO
White Goods & Durables,CROMPTON.NS,CROMPTON
White Goods & Durables,EUREKAFORB.NS,EUREKAFORB
White Goods & Durables,HAVELLS.NS,HAVELLS
White Goods & Durables,HAWKINSCOOK.NS,HAWKINSCOOK
White Goods & Durables,IFBIND.NS,IFBIND
White Goods & Durables,LGEINDIA.NS,LGEINDIA
White Goods & Durables,ORIENTELEC.NS,ORIENTELEC
White Goods & Durables,STOVEKRAFT.NS,STOVEKRAFT
White Goods & Durables,SYMPHONY.NS,SYMPHONY
White Goods & Durables,TTKPRESTIG.NS,TTKPRESTIG
White Goods & Durables,VGUARD.NS,VGUARD
White Goods & Durables,VOLTAS.NS,VOLTAS
White Goods & Durables,WHIRLPOOL.NS,WHIRLPOOL
Footwear,BATAINDIA.NS,BATAINDIA
Footwear,CAMPUS.NS,CAMPUS
Footwear,KHADIM.NS,KHADIM
Footwear,LIBERTSHOE.NS,LIBERTSHOE
Footwear,METROBRAND.NS,METROBRAND
Footwear,MIRZAINT.NS,MIRZAINT
Footwear,RELAXO.NS,RELAXO
Diagnostics & Pathology,KRSNAA.NS,KRSNAA
Diagnostics & Pathology,LALPATHLAB.NS,LALPATHLAB
Diagnostics & Pathology,METROPOLIS.NS,METROPOLIS
Diagnostics & Pathology,THYROCARE.NS,THYROCARE
Diagnostics & Pathology,VIJAYA.NS,VIJAYA
Packaging Solutions,EPL.NS,EPL
Packaging Solutions,GARFIBRES.NS,GARFIBRES
Packaging Solutions,HINDCOMPOS.NS,HINDCOMPOS
Packaging Solutions,HUHTAMAKI.NS,HUHTAMAKI
Packaging Solutions,JINDALPOLY.NS,JINDALPOLY
Packaging Solutions,MOLDTKPAC.NS,MOLDTKPAC
Packaging Solutions,POLYPLEX.NS,POLYPLEX
Packaging Solutions,TCPLPACK.NS,TCPLPACK
Packaging Solutions,UFLEX.NS,UFLEX
Shipbuilding,COCHINSHIP.NS,COCHINSHIP
Shipbuilding,GRSE.NS,GRSE
Shipbuilding,MAZDOCK.NS,MAZDOCK
Shipbuilding,SCI.NS,SCI
Marine & Offshore Services,DREDGECORP.NS,DREDGECORP
Marine & Offshore Services,GESHIP.NS,GESHIP
Marine & Offshore Services,SEAMECLTD.NS,SEAMECLTD
Marine & Offshore Services,SHREEJISPG.NS,SHREEJISPG
Power Generation,ADANIPOWER.NS,ADANIPOWER
Power Generation,CESC.NS,CESC
Power Generation,ENRIN.NS,ENRIN
Power Generation,JPPOWER.NS,JPPOWER
Power Generation,JSWENERGY.NS,JSWENERGY
Power Generation,NAVA.NS,NAVA
Power Generation,NHPC.NS,NHPC
Power Generation,NLCINDIA.NS,NLCINDIA
Power Generation,NTPC.NS,NTPC
Power Generation,RPOWER.NS,RPOWER
Power Generation,SJVN.NS,SJVN
Power Generation,TATAPOWER.NS,TATAPOWER
Power Generation,TORNTPOWER.NS,TORNTPOWER
Power Generation,VEDPOWER.NS,VEDPOWER
Carbon and Graphite,GOACARBON.NS,GOACARBON
Carbon and Graphite,GRAPHITE.NS,GRAPHITE
Carbon and Graphite,HEG.NS,HEG
Carbon and Graphite,HSCL.NS,HSCL
Carbon and Graphite,PCBL.NS,PCBL
Oil & Gas Midstream,ATGL.NS,ATGL
Oil & Gas Midstream,DEEPINDS.NS,DEEPINDS
Oil & Gas Midstream,GAIL.NS,GAIL
Oil & Gas Midstream,IGL.NS,IGL
Oil & Gas Midstream,MGL.NS,MGL
Oil & Gas Midstream,PETRONET.NS,PETRONET
Travel & Tourism,BLS.NS,BLS
Travel & Tourism,IMAGICAA.NS,IMAGICAA
Travel & Tourism,IRCTC.NS,IRCTC
Travel & Tourism,IXIGO.NS,IXIGO
Travel & Tourism,TBOTEK.NS,TBOTEK
Travel & Tourism,THOMASCOOK.NS,THOMASCOOK
Travel & Tourism,WONDERLA.NS,WONDERLA
Travel & Tourism,YATRA.NS,YATRA
Business Services,CMSINFO.NS,CMSINFO
Business Services,QUESS.NS,QUESS
Business Services,SIS.NS,SIS
Business Services,TEAMLEASE.NS,TEAMLEASE
Technology Hardware Distribution,DLINKINDIA.NS,DLINKINDIA
Technology Hardware Distribution,OPTIEMUS.NS,OPTIEMUS
Technology Hardware Distribution,REDINGTON.NS,REDINGTON
Technology Hardware Distribution,RPTECH.NS,RPTECH
IT Hardware & Peripherals,CONTROLPR.NS,CONTROLPR
IT Hardware & Peripherals,DCI.NS,DCI
IT Hardware & Peripherals,EBGNG.NS,EBGNG
IT Hardware & Peripherals,ESCONET.NS,ESCONET
IT Hardware & Peripherals,PANACHE.NS,PANACHE
IT Hardware & Peripherals,SMARTLINK.NS,SMARTLINK
IT Hardware & Peripherals,TVSELECT.NS,TVSELECT
Water & Irrigation Infrastructure,IONEXCHANG.NS,IONEXCHANG
Water & Irrigation Infrastructure,JISLJALEQS.NS,JISLJALEQS
Water & Irrigation Infrastructure,KIRLOSBROS.NS,KIRLOSBROS
Water & Irrigation Infrastructure,KSB.NS,KSB
Water & Irrigation Infrastructure,ROTO.NS,ROTO
Water & Irrigation Infrastructure,SHAKTIPUMP.NS,SHAKTIPUMP
Water & Irrigation Infrastructure,WABAG.NS,WABAG
Water & Irrigation Infrastructure,WELCORP.NS,WELCORP
Water & Irrigation Infrastructure,WPIL.NS,WPIL
Real Estate & Realty,ABREL.NS,ABREL
Real Estate & Realty,ANANTRAJ.NS,ANANTRAJ
Real Estate & Realty,BRIGADE.NS,BRIGADE
Real Estate & Realty,DLF.NS,DLF
Real Estate & Realty,GODREJPROP.NS,GODREJPROP
Real Estate & Realty,LODHA.NS,LODHA
Real Estate & Realty,OBEROIRLTY.NS,OBEROIRLTY
Real Estate & Realty,PHOENIXLTD.NS,PHOENIXLTD
Real Estate & Realty,PRESTIGE.NS,PRESTIGE
Real Estate & Realty,SIGNATURE.NS,SIGNATURE
Real Estate & Realty,SOBHA.NS,SOBHA
