theme,symbol,clean_symbol
Wealth Management,ANANDRATHI.NS,ANANDRATHI
Wealth Management,NUVAMA.NS,NUVAMA
Wealth Management,PRUDENT.NS,PRUDENT
Capital Market,5PAISA.NS,5PAISA
Capital Market,ANGELONE.NS,ANGELONE
Capital Market,BSE.NS,BSE
Capital Market,CAMS.NS,CAMS
Capital Market,CDSL.NS,CDSL
Capital Market,GEOJITFSL.NS,GEOJITFSL
Capital Market,IEX.NS,IEX
Capital Market,IIFLCAPS.NS,IIFLCAPS
Capital Market,KFINTECH.NS,KFINTECH
Capital Market,MCX.NS,MCX
Capital Market,MOTILALOFS.NS,MOTILALOFS
Capital Goods,ABB.NS,ABB
Capital Goods,AIAENG.NS,AIAENG
Capital Goods,APARINDS.NS,APARINDS
Capital Goods,BEL.NS,BEL
Capital Goods,BHEL.NS,BHEL
Capital Goods,CARBORUNIV.NS,CARBORUNIV
Capital Goods,CGPOWER.NS,CGPOWER
Capital Goods,CUMMINSIND.NS,CUMMINSIND
Capital Goods,ELGIEQUIP.NS,ELGIEQUIP
Capital Goods,GENUSPOWER.NS,GENUSPOWER
Capital Goods,GRINDWELL.NS,GRINDWELL
Capital Goods,HONAUT.NS,HONAUT
Capital Goods,ISGEC.NS,ISGEC
Capital Goods,JYOTICNC.NS,JYOTICNC
Capital Goods,KIRLOSENG.NS,KIRLOSENG
Capital Goods,LT.NS,LT
Capital Goods,PTCIL.NS,PTCIL
Capital Goods,SCHAEFFLER.NS,SCHAEFFLER
Capital Goods,SIEMENS.NS,SIEMENS
Capital Goods,SKFINDIA.NS,SKFINDIA
Capital Goods,TDPOWERSYS.NS,TDPOWERSYS
Capital Goods,THERMAX.NS,THERMAX
Capital Goods,TIMKEN.NS,TIMKEN
Capital Goods,TRITURBINE.NS,TRITURBINE
Personal Care & Wellness,BAJAJCON.NS,BAJAJCON
Personal Care & Wellness,CUPID.NS,CUPID
Personal Care & Wellness,EMAMILTD.NS,EMAMILTD
Personal Care & Wellness,GILLETTE.NS,GILLETTE
Personal Care & Wellness,JHS.NS,JHS
Personal Care & Wellness,PGHH.NS,PGHH
Personal Care & Wellness,ZYDUSWELL.NS,ZYDUSWELL
Alcohols & Breweries,ASALCBR.NS,ASALCBR
Alcohols & Breweries,GLOBUSSPR.NS,GLOBUSSPR
Alcohols & Breweries,PICCADIL.NS,PICCADIL
Alcohols & Breweries,RADICO.NS,RADICO
Alcohols & Breweries,SDBL.NS,SDBL
Alcohols & Breweries,SULA.NS,SULA
Alcohols & Breweries,TI.NS,TI
Alcohols & Breweries,UBL.NS,UBL
Alcohols & Breweries,UNITDSPR.NS,UNITDSPR
Oil & Gas Downstream,BPCL.NS,BPCL
Oil & Gas Downstream,CASTROLIND.NS,CASTROLIND
Oil & Gas Downstream,CONFIPET.NS,CONFIPET
Oil & Gas Downstream,HINDPETRO.NS,HINDPETRO
Oil & Gas Downstream,IOC.NS,IOC
Oil & Gas Downstream,MRPL.NS,MRPL
Oil & Gas Upstream,OIL.NS,OIL
Oil & Gas Upstream,ONGC.NS,ONGC
Oil & Gas Upstream,RELIANCE.NS,RELIANCE
Oil & Gas Upstream,VOGL.NS,VOGL
Cement,ACC.NS,ACC
Cement,AMBUJACEM.NS,AMBUJACEM
Cement,DALBHARAT.NS,DALBHARAT
Cement,GRASIM.NS,GRASIM
Cement,JKCEMENT.NS,JKCEMENT
Cement,RAMCOCEM.NS,RAMCOCEM
Cement,SHREECEM.NS,SHREECEM
Cement,ULTRACEMCO.NS,ULTRACEMCO
Solar Manufacturing,BORORENEW.NS,BORORENEW
Solar Manufacturing,EMMVEE.NS,EMMVEE
Solar Manufacturing,INA.NS,INA
Solar Manufacturing,PREMIERENE.NS,PREMIERENE
Solar Manufacturing,UTLSOLAR.NS,UTLSOLAR
Solar Manufacturing,VIKRAMSOLR.NS,VIKRAMSOLR
Solar Manufacturing,WAAREEENER.NS,WAAREEENER
Solar Manufacturing,WEBELSOLAR.NS,WEBELSOLAR
Semiconductors & EMS,AMBER.NS,AMBER
Semiconductors & EMS,AVALON.NS,AVALON
Semiconductors & EMS,BEL.NS,BEL
Semiconductors & EMS,CGPOWER.NS,CGPOWER
Semiconductors & EMS,CYIENT.NS,CYIENT
Semiconductors & EMS,CYIENTDLM.NS,CYIENTDLM
Semiconductors & EMS,DIXON.NS,DIXON
Semiconductors & EMS,ELIN.NS,ELIN
Semiconductors & EMS,KAYNES.NS,KAYNES
Semiconductors & EMS,LTTS.NS,LTTS
Semiconductors & EMS,MOSCHIP.NS,MOSCHIP
Semiconductors & EMS,PGEL.NS,PGEL
Semiconductors & EMS,SYRMA.NS,SYRMA
Semiconductors & EMS,TATAELXSI.NS,TATAELXSI
Infrastructure & EPC,ADANIPORTS.NS,ADANIPORTS
Infrastructure & EPC,GMRAIRPORT.NS,GMRAIRPORT
Infrastructure & EPC,IRB.NS,IRB
Infrastructure & EPC,JSWINFRA.NS,JSWINFRA
Infrastructure & EPC,KEC.NS,KEC
Infrastructure & EPC,KNRCON.NS,KNRCON
Infrastructure & EPC,LT.NS,LT
Infrastructure & EPC,NCC.NS,NCC
Infrastructure & EPC,PNCINFRA.NS,PNCINFRA
Infrastructure & EPC,PSPPROJECT.NS,PSPPROJECT
Fintech,ALGOQUANT.NS,ALGOQUANT
Fintech,CAMS.NS,CAMS
Fintech,CDSL.NS,CDSL
Fintech,FSL.NS,FSL
Fintech,JIOFIN.NS,JIOFIN
Fintech,PAYTM.NS,PAYTM
Fintech,POLICYBZR.NS,POLICYBZR
Fintech,SBICARD.NS,SBICARD
EV Ecosystem,ARE&M.NS,ARE&M
EV Ecosystem,ATHERENERG.NS,ATHERENERG
EV Ecosystem,BAJAJ-AUTO.NS,BAJAJ-AUTO
EV Ecosystem,EXICOM.NS,EXICOM
EV Ecosystem,EXIDEIND.NS,EXIDEIND
EV Ecosystem,HEROMOTOCO.NS,HEROMOTOCO
